phase,lag,mean,p_value,ci_low,ci_high,n
2,2,0.06265315275552738,0.2632,-0.04590160009711216,0.17507512037016848,5550
2,3,0.0748950746921268,0.1956,-0.032043025083657,0.18184055624018058,5525
2,4,0.028293822458384847,0.6184,-0.08261223770051782,0.13906398056649194,5500
2,5,-0.02786411426719023,0.6212,-0.13577246886055985,0.08028367681876293,5475
2,6,0.0383557997071231,0.5062,-0.07396396369892999,0.1443365766404691,5425
2,7,0.22488370780319206,0.0,0.11137428009970664,0.33770584454997593,5350
2,8,0.35434301412050795,0.0,0.23725532618447168,0.4658315084312197,5275
2,9,0.33108045998160474,0.0,0.21555366080598454,0.4439079184462658,5200
2,10,0.32124308242667365,0.0,0.21143065507420072,0.43678112252895424,5150
2,11,0.3074705101025646,0.0,0.19504146503738862,0.4163679323495757,5075
2,12,0.28257399439627257,0.0,0.17092776990199812,0.3905560617976036,5025
2,13,0.24852502631227166,0.0,0.143839715677616,0.3596010952239228,5000
2,14,0.23658981422682845,0.0,0.12190713020089541,0.34347010278341833,4975
2,15,0.18862415322239298,0.0018,0.07765161649858261,0.3005298704142852,4950
2,16,0.14336451017770815,0.0154,0.02892729798637123,0.25980611422623456,4900
2,17,0.04450856427763588,0.4544,-0.07195499533402956,0.15807807805785945,4825
2,18,-0.11563300401780989,0.0512,-0.23178441414724738,-0.004082832764493161,4750
2,19,-0.18116815702324757,0.0034,-0.2975452927711478,-0.06331102354659365,4725
2,20,-0.246276260256502,0.0002,-0.3672706003745882,-0.1266798352698746,4700
2,21,-0.2354075281869041,0.0008,-0.36121744197877953,-0.11723068089407992,4650
2,22,-0.2522558966739612,0.0,-0.3745088666233719,-0.12941284258739472,4625
2,23,-0.27976390650089994,0.0,-0.3977587904593052,-0.1593073689951683,4600
2,24,-0.2038209102850128,0.0008,-0.3328179602483388,-0.0777757437027561,4550
2,25,-0.14900774822444543,0.0168,-0.2715254336564284,-0.02374858094949954,4500
3,0,0.10640736567878217,0.0256,0.01069789492175708,0.1975872621983705,7700
3,1,0.08243195757844538,0.086,-0.011029030927105844,0.17380205704215115,7675
3,2,0.05979216679944758,0.2232,-0.03393563123040414,0.15257213392309943,7650
3,3,0.06096509051681864,0.2098,-0.033039994644943005,0.15634602221802799,7575
3,4,0.08249113372892326,0.0928,-0.007054850757835168,0.1777891177798915,7475
3,5,0.16264141249419922,0.0006,0.06804156191053075,0.25774723989341225,7375
3,6,0.19108347030913422,0.0,0.09430240347037139,0.2822309879486691,7325
3,7,0.1039639648402364,0.037,0.012335744661812163,0.19984085443718538,7275
3,8,0.03570875858639088,0.4678,-0.0558697330579776,0.1320630482617625,7225
3,9,0.061467084282371236,0.2194,-0.03224270249460665,0.15492162847352428,7150
3,10,0.06463429692296156,0.2026,-0.028848928896293417,0.1567277217202416,7075
3,11,0.08183894826964962,0.1028,-0.013925678914412572,0.17760164170525383,7000
3,12,0.08153725549265738,0.1102,-0.014168245444356464,0.1776614276780987,6900
3,13,0.06036015160224126,0.2346,-0.03484270155602042,0.15668760322002706,6775
3,14,0.0063841213278118805,0.9068,-0.0881584736196132,0.10887906466596835,6650
3,15,-0.022181387713635488,0.6648,-0.11838990014125285,0.0764074775461735,6575
3,16,-0.0481052808444919,0.3596,-0.14938104195795207,0.05102110907576829,6500
3,17,0.011145005543656782,0.8386,-0.09343792788276001,0.11657087014685334,6450
3,18,0.09620731243939722,0.0684,-0.0036997398726846013,0.198151460408273,6350
3,19,0.055849158204030025,0.3006,-0.05347624905248766,0.15865155061100855,6225
3,20,-0.035999624894750074,0.509,-0.13607423819354053,0.06375060465682257,6100
3,21,-0.16534689088331553,0.0028,-0.2661892133159911,-0.06135628591171851,6025
3,22,-0.22731873043720177,0.0,-0.3277816474222834,-0.12770025382843678,5950
3,23,-0.25551824533336664,0.0,-0.36032411374613343,-0.14955232248978878,5825
3,24,-0.22232254955711864,0.0,-0.3248797596118097,-0.11718697935410348,5725
3,25,-0.16077516455892044,0.0048,-0.2683738605768853,-0.050741384497188555,5625
4,0,0.13552290488187432,0.0098,0.037509620115759056,0.23546906986471172,6650
4,1,0.11912026517905237,0.0222,0.02147752894239326,0.2146109426349948,6475
4,2,0.045622343515365225,0.3936,-0.05240463837751144,0.14593942893638556,6225
4,3,-0.010524716363937436,0.8452,-0.11190251776536633,0.09106539504065841,6075
4,4,0.023831516488540927,0.66,-0.07917603113543273,0.12618261364575062,5975
4,5,0.0017248992999048226,0.9792,-0.10154276257760006,0.10631910097384982,5850
4,6,-0.049213108270189106,0.3754,-0.1513833286715673,0.05269111878282399,5775
4,7,-0.05057012182538768,0.3752,-0.1561036163970982,0.059146285657626294,5700
4,8,-0.037638272987506154,0.501,-0.14623294605003706,0.07091538709483933,5625
4,9,-0.04485743046002022,0.4392,-0.15887807769329826,0.06724643752288206,5500
4,10,-0.12630971152980236,0.0234,-0.2353176453178794,-0.014277567225409104,5400
4,11,-0.18992252404648138,0.0008,-0.30066097905276773,-0.07769578764435077,5325
4,12,-0.23175048760569833,0.0,-0.34390102957028734,-0.12417492610987349,5175
4,13,-0.2666267734591012,0.0,-0.37987519372586864,-0.15345745463507218,5050
4,14,-0.31035862185223023,0.0,-0.4223291253876329,-0.19414901906972792,4925
4,15,-0.3161331456257852,0.0,-0.43175531944494944,-0.19856249527737163,4825
4,16,-0.34346970941047905,0.0,-0.46135787595699995,-0.227720144470987,4725
4,17,-0.4456818496060507,0.0,-0.5638233707621041,-0.32744484385188577,4600
4,18,-0.3653955135298241,0.0,-0.48730612135604845,-0.2440611032298766,4575
4,19,-0.15669428165339608,0.0114,-0.27968062991126935,-0.0357468413107946,4575
4,20,0.0399593745020836,0.5272,-0.08654277429451124,0.16688577372499924,4575
4,21,0.0984358595934754,0.1092,-0.021470391303194232,0.2188879732957757,4500
4,22,0.21859027334086775,0.0008,0.09468341115480558,0.3452106342051413,4400
4,23,0.355007687408495,0.0,0.22614373273792648,0.4808133546750752,4325
4,24,0.3858038208589402,0.0,0.2535988329637339,0.5104834875517931,4250
4,25,0.3987074873161357,0.0,0.27460255322200267,0.5238385139767,4175
5,0,-0.26247239552725693,0.0,-0.36525023097583753,-0.15980493489464978,6125
5,1,-0.38829109597179384,0.0,-0.4974131893541619,-0.28411131822388264,6025
5,2,-0.3970495502387472,0.0,-0.5014502376475243,-0.2930454484478025,6000
