phase,lag,mean,p_value,ci_low,ci_high,n
1,0,0.05083487364865635,0.3914,-0.05024749312037115,0.156254949892733,7350
1,1,0.06787049585900308,0.2588,-0.04083065370838739,0.17399456664563953,7150
1,2,0.1634760050357476,0.0068,0.05770715456092651,0.2755598323437762,6925
1,3,0.3018062291439993,0.0,0.19449341919079266,0.4117851564635701,6750
1,4,0.3909750720088801,0.0,0.28397419918339956,0.5000235359168709,6600
1,5,0.2990510908192596,0.0,0.18762238764979108,0.4146231882988014,6425
1,6,0.1333770365716878,0.0328,0.021755386341713014,0.2458518700141534,6250
1,7,0.13817338931394257,0.0292,0.02632258106469883,0.2554121197296035,6100
1,8,0.17498139538720814,0.0052,0.05962021868794491,0.28853146484361114,6000
1,9,0.12158717117863152,0.0566,0.003408703215608723,0.23718007602550412,5900
1,10,0.13268367427156388,0.039,0.018560041803112225,0.2566033651569522,5850
1,11,0.11101425302283936,0.0934,-0.0005355360539892562,0.23030351631756002,5825
1,12,0.186695312839641,0.0036,0.07009518764513879,0.3044375457199619,5750
1,13,0.0703720306825297,0.2894,-0.046735249715186354,0.1898570667556073,5700
1,14,-0.12772171904859247,0.0546,-0.25199738712524045,-0.009903684206962669,5650
1,15,-0.10565110290418207,0.1128,-0.22961397067249886,0.01685214519003513,5600
1,16,-0.005806403836444826,0.9346,-0.12962575710682245,0.12005682215840131,5525
1,17,0.02892028434646144,0.663,-0.10378139463325906,0.16058287136777702,5500
1,18,0.03808083331669267,0.559,-0.09483272187105887,0.17409235794824066,5475
1,19,0.11984153911691861,0.0752,-0.008409204433800842,0.2511813758458259,5450
1,20,0.08830267680302135,0.1874,-0.038271992888961576,0.21706797707663159,5425
1,21,0.010092752433338832,0.8828,-0.11838035062766482,0.135771291377012,5400
1,22,-0.026146513990547716,0.7044,-0.14739526852286103,0.10346336414011373,5375
1,23,0.03938155836150564,0.5602,-0.09549821402763846,0.16714526976767582,5325
1,24,0.13194994515397085,0.054,0.007579692790022949,0.26498378282668666,5275
1,25,0.23300077577646744,0.0008,0.10112981678201273,0.3662122505297183,5200
1,26,0.25554588426466635,0.0004,0.12519995635352177,0.38849156719834377,5100
1,27,0.2831136095503724,0.0,0.15031321363588077,0.4147157510799548,5000
1,28,0.2194224331836234,0.002,0.0870860929117505,0.35206391227363265,4925
1,29,0.056537358579590705,0.4234,-0.07678598544687262,0.18893063896896872,4850
1,30,-0.09963928974034432,0.1574,-0.23165695849183227,0.028483602572762213,4725
1,31,-0.04797596704077533,0.4916,-0.1830169592713077,0.08516332824996886,4625
1,32,0.042341798858486226,0.5692,-0.09629449170567739,0.18177415677686568,4550
1,33,0.015663950938384047,0.8346,-0.1258986883886339,0.1597887803886427,4400
1,34,-0.030719534082058998,0.6752,-0.1787173725754857,0.11318463545139848,4225
1,35,-0.1904480986121313,0.0112,-0.33309223553951894,-0.04480455014581597,4050
1,36,-0.1787942569731332,0.0216,-0.3321798951456054,-0.02631795235372425,3900
1,37,-0.1604495708528641,0.0388,-0.31859955355583014,-0.01211149719187667,3825
1,38,-0.2118498144187787,0.0074,-0.35666226165195003,-0.059370454248500806,3775
1,39,-0.32093484359684066,0.0,-0.47330640513625727,-0.16972847463323884,3725
1,40,-0.19190199355246387,0.0148,-0.34503707868569045,-0.0391102957395797,3675
1,41,0.003304267216913743,0.9656,-0.1469790982176497,0.16089602149467191,3600
1,42,0.2054061160155201,0.0098,0.04687065788087585,0.3665306968619015,3525
1,43,0.24589652836369436,0.0018,0.076201931609179,0.4039903724130477,3500
1,44,0.0677919918164868,0.4028,-0.09323135704080003,0.2305008262349131,3475
1,45,-0.29762703099639387,0.0002,-0.45859605170544326,-0.13890383485403587,3450
1,46,-0.42027703151398793,0.0,-0.5770291658706087,-0.25743350327292963,3425
1,47,-0.32864275748116734,0.0,-0.49510317637790224,-0.16313488177328977,3400
1,48,-0.12427779470138435,0.125,-0.2954806997647732,0.04887316640563894,3375
1,49,0.11625266004961524,0.152,-0.06534668459806035,0.29888993263468805,3325
1,50,0.0741611778949965,0.381,-0.09356224359822399,0.24608981361786653,3275
1,51,0.19791390499824074,0.0178,0.0257786423267183,0.3797846708055587,3175
1,52,0.16115548279220948,0.059,-0.01440484700567333,0.340959852971194,3100
1,53,-0.04805977029986324,0.5736,-0.22441679879920617,0.12927066973885815,3075
1,54,0.0575845045798262,0.5016,-0.11724409230138917,0.23390150247589492,3050
1,55,0.23028225274205255,0.0096,0.05714740614597174,0.4028850850118605,3025
1,56,0.26505239176809503,0.0028,0.09826158043047846,0.43356846790939696,3000
1,57,0.21697380072843978,0.011,0.04586288949778828,0.38509764890829923,2975
1,58,0.13539383494440263,0.134,-0.03343979723513699,0.30735024652222365,2900
1,59,0.024172295800382854,0.7928,-0.13717970992053977,0.20009823352800762,2825
1,60,-0.17968803962891639,0.0486,-0.3464021287033879,-0.01040872344458638,2750
2,0,0.08006842610364587,0.203,-0.031216509414536065,0.19143134368337306,6325
2,1,0.04854383265813489,0.4422,-0.060267554717699956,0.1601900809221983,6275
2,2,-0.019669795382969636,0.7536,-0.12545113806580363,0.09072869988176363,6175
2,3,-0.01998060374136926,0.7518,-0.1304977636499119,0.09402081975341868,6050
2,4,0.0311604169756258,0.6346,-0.08553561349318727,0.1409282865553802,5900
2,5,0.10094108628770042,0.1182,-0.011433567310994803,0.21344995716479814,5800
2,6,0.07124122072074446,0.2708,-0.03974143908158351,0.18612523393739333,5700
2,7,-0.09770477514471625,0.138,-0.21362576044222295,0.019416985592083824,5625
2,8,-0.24613408952714733,0.0,-0.355941070959962,-0.13572355231876881,5550
2,9,-0.1359190502082301,0.0372,-0.25026747319591,-0.02109653064691006,5500
2,10,0.0364209694996686,0.5866,-0.08534970861783445,0.15914602346468013,5450
2,11,0.17575146176788822,0.0064,0.05482302588685697,0.30027262752925227,5425
2,12,0.19974910778178664,0.0026,0.07813746129516268,0.3250847423312133,5425
2,13,0.14465754048209875,0.0296,0.024158154253138487,0.2715191898971529,5400
2,14,0.07595258618263889,0.2544,-0.054302246836078136,0.20405379724710157,5375
2,15,0.04611077657965387,0.483,-0.08047548832596188,0.17660361395487278,5350
2,16,0.19591745813421793,0.004,0.06995162064097342,0.3292281575328161,5325
2,17,0.328492346885812,0.0,0.19394401917126425,0.4608074674347565,5300
2,18,0.35078722490182,0.0,0.21977802295030405,0.48177124337433536,5300
2,19,0.38002016210862716,0.0,0.2522818012764213,0.5041722572376547,5300
2,20,0.38573884409275533,0.0,0.2591203238645311,0.513586039946039,5300
2,21,0.3851328716754188,0.0,0.25834399158940485,0.5115097715754111,5250
2,22,0.35378584205797364,0.0,0.2279130019069145,0.47913934838389866,5150
2,23,0.33613750835750456,0.0,0.20923395392263552,0.46177789626912086,5075
2,24,0.35558901355566336,0.0,0.2317815143598956,0.4847430653815045,5000
2,25,0.2990954647893711,0.0,0.17889067135898462,0.42137805065255746,4925
2,26,0.2338707936114346,0.0006,0.11443852254681552,0.3597209512468501,4850
2,27,0.05388331086038129,0.4492,-0.07096712869345649,0.18257714353093868,4750
2,28,-0.05706158233976114,0.4204,-0.18618033834870293,0.07233711198718304,4675
2,29,-0.07895958336832845,0.2632,-0.21440306401009263,0.05394416866443575,4600
2,30,-0.027414426090510396,0.7142,-0.16233344171291672,0.10636489063983882,4550
2,31,-0.05727166707477403,0.4304,-0.1908423512778458,0.07218034002070997,4475
2,32,-0.15702838213079012,0.0256,-0.28743355906254536,-0.02522160039089747,4375
2,33,-0.17556296643779726,0.0198,-0.31542272045291003,-0.04265780180298573,4300
2,34,-0.30073047040004786,0.0,-0.44273525993329876,-0.16403245016235304,4200
2,35,-0.3345212759622657,0.0002,-0.47654618304966206,-0.19228583123107604,4050
2,36,-0.41489638961092007,0.0,-0.559162719711333,-0.27286919059358333,3950
2,37,-0.24728766727449508,0.0004,-0.4002098151438509,-0.10110016682037225,3875
2,38,-0.04158706401659162,0.5844,-0.1883252687960357,0.11155846816575572,3800
2,39,0.035446553311230776,0.6602,-0.10987447981319466,0.18284842061457565,3750
2,40,-0.017391479986273894,0.824,-0.15912739066054188,0.1309053401735761,3725
2,41,-0.20611141999085203,0.0106,-0.3508569493212232,-0.058082550672357076,3675
2,42,-0.3863936101993184,0.0,-0.5369152110128768,-0.2334339879868127,3675
2,43,-0.1883199499765717,0.016,-0.34387540474358325,-0.035601122181119625,3675
2,44,0.11003082319888326,0.1706,-0.04924104201482571,0.2674694308320763,3650
2,45,0.4089999720648347,0.0,0.24443036768160778,0.572512610173345,3650
2,46,0.6293235463839687,0.0,0.473737640176844,0.7962861349035932,3650
2,47,0.8870606896839824,0.0,0.7277163599348075,1.04180939623034,3650
2,48,0.7322443716846999,0.0,0.5766917721043744,0.8933891200554702,3625
2,49,0.3304802803217874,0.0,0.1746814675836216,0.4870369905324179,3600
2,50,0.2114483821533108,0.0104,0.06035674486758694,0.36334063852008996,3575
2,51,0.09834586450727494,0.2288,-0.05242837268776552,0.24951351164591873,3525
2,52,0.09986448623536454,0.224,-0.05350262543012802,0.24688317564016204,3475
2,53,0.16029267494947855,0.0494,0.01732286182651,0.30356254550988854,3425
2,54,-0.0947655970522131,0.2434,-0.24468392200720365,0.06084987531000293,3375
2,55,-0.3550121570141712,0.0,-0.501937964121451,-0.20516291747870793,3350
2,56,-0.3859325707374935,0.0,-0.5405711769232944,-0.23047502697077285,3300
2,57,-0.44522569835447634,0.0,-0.6068168439567246,-0.2866143980288419,3200
2,58,-0.5038570262936162,0.0,-0.6685419294002981,-0.3351989421912344,3100
2,59,-0.5078350336964745,0.0,-0.6791480985250472,-0.33770025951119603,3075
2,60,-0.40100989518674957,0.0,-0.5692260290678504,-0.22590530471080075,3000
3,0,-0.16985252492433756,0.0068,-0.279688426953241,-0.06234558403068087,6475
3,1,-0.14296449174978765,0.0194,-0.2508407761493777,-0.03716706144610006,6400
3,2,-0.10838499005175974,0.0872,-0.21788534601267387,0.0016921073318412318,6325
3,3,-0.06049876116448584,0.343,-0.1738722206133288,0.04944840013258704,6275
3,4,-0.09485323400910799,0.1294,-0.20253170658021966,0.01993766156155842,6250
3,5,-0.052809324915070135,0.4138,-0.15984739867623016,0.05775502155528401,6250
3,6,0.0038405970085110858,0.9534,-0.1085128651169515,0.11490175030982877,6250
3,7,0.10936951261830338,0.0862,-0.004126747956342846,0.22298137635570722,6250
3,8,0.2891390010301028,0.0,0.17282435487290043,0.4036652239700458,6225
3,9,0.27086660554555214,0.0,0.1542921105397559,0.38935160968705596,6200
3,10,0.18241274378443637,0.0034,0.0656758641398694,0.30231620861552577,6175
3,11,0.005289849996541827,0.9338,-0.11655227091631779,0.12133820644394037,6150
3,12,-0.1466095157539223,0.0212,-0.2611828979684296,-0.030948875733014716,6125
3,13,-0.0868696602069795,0.1802,-0.2004774891387841,0.030719249685185215,6125
3,14,-0.020961888200385134,0.7436,-0.139526728755473,0.09744778502215065,6125
3,15,0.1709533670991098,0.0064,0.05467779342493944,0.2888032443157,6125
3,16,0.2656386761300724,0.0,0.14809297045653344,0.3845319157916277,6075
3,17,0.18118924743551412,0.0044,0.06072653783270581,0.30256914510015637,6025
3,18,0.06721382495424857,0.299,-0.05377864603683902,0.18776118071041892,5925
