phase,lag,mean,p_value,ci_low,ci_high,n
2,40,-0.9393870484048821,0.0008,-1.4341658735160097,-0.4339347571903051,312
2,41,-0.9261969003436886,0.001,-1.4198549138289485,-0.43482179855914954,312
2,42,-0.8197389125949672,0.0014,-1.3202871472974818,-0.3028613114291267,312
2,43,-0.6581177877266102,0.0142,-1.1820635394337395,-0.12814727724788275,312
2,44,-0.39874455511332074,0.1398,-0.9158664041097946,0.1474400099499143,312
2,45,-0.1363713905926322,0.5976,-0.6963570121880407,0.4292245152516878,312
2,46,-0.060282768733303835,0.824,-0.6023216326078144,0.490696454786232,312
2,47,-0.17962037094406705,0.5124,-0.7101324779335837,0.34923555221515057,312
2,48,-0.12622660100167357,0.6358,-0.6767996884367945,0.4290632715486108,312
2,49,-0.10022622579415916,0.7106,-0.6070543723284306,0.41147523250338947,312
2,50,-0.009508607204638544,0.971,-0.5214625969217682,0.5252329405994959,312
2,51,0.06075269656134001,0.812,-0.4391190202393467,0.5489854778716009,312
2,52,0.022494577025432987,0.9322,-0.5138912648702889,0.5428473687483873,312
2,53,-0.17599900817325925,0.507,-0.6982262628997448,0.3569745307957082,312
2,54,-0.41762291322197553,0.1188,-0.9575405083753794,0.118422715937564,312
2,55,-0.6831769022299102,0.012,-1.2247376504595147,-0.14035367591273146,312
2,56,-0.6689889525155288,0.0128,-1.1970001302767215,-0.11619626464372797,312
2,57,-0.5884655244697813,0.0278,-1.1343209694216145,-0.036658951959874085,312
2,58,-0.7018065280099639,0.0112,-1.278876313196411,-0.12792919617808937,312
2,59,-0.5620986205749753,0.0352,-1.1154307909259136,-0.009341254967527137,312
2,60,-0.3004669577930081,0.2556,-0.8593603224619485,0.2629807328280377,312
3,0,0.35788777440965586,0.2086,-0.24445177591156622,0.9548556992536953,277
3,1,0.4191815475179459,0.1442,-0.1180136837780473,0.9718986081401851,277
3,2,0.3471948157172458,0.2236,-0.18681832957201594,0.8800729984332712,277
3,3,0.4348837521412262,0.1224,-0.07771886082494416,0.9612647875974635,277
3,4,0.167685325154031,0.5546,-0.3533162767076491,0.6816352976546061,277
3,5,0.012058166989289446,0.963,-0.4864603050334369,0.5219752498546563,277
3,6,0.2427640638871117,0.4072,-0.30476488971867766,0.7999374589405605,277
3,7,0.5438334604280977,0.062,-0.031171428979139767,1.1214359386653285,277
3,8,0.5792796451618256,0.0412,0.028613465531542242,1.1297155143351634,277
3,9,0.5551377425868023,0.0484,-0.004242831232665424,1.1004524431993827,277
3,10,0.5048359615252863,0.0818,-0.02405261351925826,1.0513229105888955,277
3,11,0.3361596146560463,0.234,-0.18547323103364666,0.8677269217636577,277
3,12,0.31934324275121895,0.2704,-0.22821523237852262,0.8574898668234009,277
3,13,0.18575604843646223,0.509,-0.3468031655863617,0.7360290385246283,277
3,14,-0.21849781309710745,0.4396,-0.7578549258557181,0.3156303804877377,277
3,15,-0.3819787173567769,0.172,-0.910540937742897,0.15299524435308698,277
3,16,-0.42567805126860453,0.1324,-0.9698358347108191,0.1308769551322039,277
3,17,-0.6767636810458614,0.0174,-1.192386548133368,-0.1525630304728515,277
3,18,-0.9583334097566348,0.0004,-1.4658768534122788,-0.44117756654470897,277
3,19,-0.8275133593705123,0.0042,-1.331579447736626,-0.2958428334014676,277
3,20,-0.705369650079361,0.0122,-1.2414970631788436,-0.17562031380502174,277
3,21,-0.5754916731184561,0.0384,-1.1246197763187906,-0.00372997043052351,277
3,22,-0.24420727278136642,0.3962,-0.8058494678377129,0.3023248420692389,277
3,23,0.21266958273574452,0.4622,-0.39016100486841365,0.8252365436104396,277
3,24,0.6898201088508034,0.0182,0.06982896863168324,1.3179428046483084,277
3,25,0.8534965854020599,0.0034,0.2556511909134321,1.4578944979517592,277
3,26,0.6496795806543509,0.0236,0.07111733802595299,1.2295254464156458,277
3,27,0.3609352084330255,0.218,-0.20405680944307603,0.9416582374066433,277
3,28,0.11522479155024128,0.682,-0.4608846963565996,0.7114191933030395,277
3,29,-0.07253316659278866,0.7904,-0.6494151165938324,0.49618606674035787,277
3,30,0.0077162237189739,0.9786,-0.5398101865047572,0.5692537265385141,277
3,31,0.10899645756198102,0.715,-0.43520021210056997,0.661481640742288,277
3,32,0.017408120853582537,0.9562,-0.5494797885104012,0.5813101951211269,277
3,33,-0.0073448977826333335,0.9816,-0.5957137747967757,0.5632184527800452,277
3,34,0.036649673195396894,0.8926,-0.5358639911278188,0.6018501154420909,277
3,35,0.04598480433927596,0.8728,-0.49215952170082833,0.6255135118038019,277
3,36,-0.2112811046881217,0.4614,-0.7507736868633842,0.32143416598086993,277
3,37,-0.44896167861826997,0.1164,-0.9510918588892164,0.0654356127760277,277
3,38,-0.5710464058718667,0.0414,-1.0773145888970261,-0.06235053790867968,277
3,39,-0.7451703385555871,0.0092,-1.2494267123755964,-0.2285332175756428,277
3,40,-0.7005186329522768,0.012,-1.2260590071992004,-0.17037252848860315,277
3,41,-0.4513531133601009,0.1084,-1.0113077576516256,0.10577904002641368,277
3,42,-0.4019344813194081,0.1616,-0.9440405870773357,0.12866584289019858,277
3,43,-0.5364728263950888,0.0668,-1.0663057333319077,-0.0011069926941455455,277
3,44,-0.5837939873258597,0.0434,-1.1270115489193304,-0.007937578836688924,277
3,45,-0.6501852458379345,0.0206,-1.1897787905609667,-0.10984322403678795,277
3,46,-0.4530166506290998,0.1126,-0.9999598096808404,0.08238507403205118,277
3,47,-0.15173327396578482,0.5814,-0.7121512671730492,0.4370193361158296,277
3,48,-0.030155292123814563,0.9152,-0.6119130014179011,0.5413865531490805,277
3,49,-0.05314671449056316,0.8578,-0.5859386843397119,0.52140156777811,277
3,50,-0.23109810081774773,0.4166,-0.7796510631151866,0.33285355497684105,277
3,51,-0.2695610536031829,0.3612,-0.8203018807685605,0.3219534501966207,277
3,52,-0.4094194936844983,0.1452,-0.932857715795952,0.14186543041335872,277
3,53,-0.5973348233417478,0.036,-1.0919292854094835,-0.09563285055925172,277
3,54,-0.6278500616031222,0.0242,-1.1340606245414768,-0.1138399478794278,277
3,55,-0.7042031206656206,0.0142,-1.2289471016907731,-0.19538292801315418,277
3,56,-0.8229355719798743,0.0052,-1.35143008559199,-0.28539905506741076,277
3,57,-0.4096305545136629,0.1594,-0.9257124178242626,0.12101186096787814,277
3,58,0.09479986600209678,0.739,-0.4330825419540609,0.6282407070312216,277
3,59,0.10530748136879309,0.7188,-0.4138295629061589,0.629151800279336,277
3,60,-0.09215494055743462,0.7578,-0.65699480250991,0.44387676933964554,277
4,0,0.4842008758363509,0.1016,-0.07263110148501581,1.0229516403217365,253
4,1,0.721072053904411,0.0166,0.17694326982037645,1.2778338696106775,253
4,2,0.8505322341649364,0.0046,0.2905909187725306,1.4169124682659282,253
4,3,0.6811621626232638,0.0248,0.10952682863768425,1.2361584946978739,253
4,4,0.2760830416687635,0.3542,-0.28380661186859396,0.8410620300372443,253
4,5,-0.2001340317578759,0.4984,-0.7469165941712215,0.3652099090882506,253
4,6,-0.378380631238643,0.2084,-0.9519034744145025,0.17809035137202645,253
4,7,-0.6071972866008424,0.0418,-1.1548497153450912,-0.04402618118810955,253
4,8,-0.6462938092103495,0.0306,-1.2106702130021307,-0.08064712887144335,253
4,9,-0.6437703471079116,0.0318,-1.192321962962763,-0.08072421063111168,253
4,10,-0.7003145339285668,0.0198,-1.2501424323397694,-0.1593229757933809,253
4,11,-0.6293301492708653,0.0362,-1.1992581847616224,-0.06166516987255311,253
4,12,-0.43848630625812357,0.1458,-1.0507948574074508,0.1565588462107369,253
4,13,-0.25962648645176223,0.3794,-0.8462699829780306,0.3411948640691974,253
4,14,0.17868673361280374,0.5544,-0.446486123284002,0.8033782035034264,253
4,15,0.21280415093316554,0.4662,-0.390781761366461,0.819427414717788,253
4,16,0.3278457160907466,0.2822,-0.26185321732822153,0.9294586195153353,253
4,17,0.3042295752638059,0.3154,-0.2793810198516058,0.8952620834500628,253
4,18,0.29683815308542044,0.318,-0.2767055771494686,0.8773037386717747,253
4,19,0.2825618416432681,0.3538,-0.2792310049979441,0.8792594073942339,253
4,20,0.3769766889929682,0.2046,-0.18068350643409029,0.9416298073731719,253
