phase,lag,mean,p_value,ci_low,ci_high,n
2,1,-0.15692639937391648,0.036,-0.27296245638696276,-0.03832758769122654,7350
2,2,-0.10296675749978935,0.1818,-0.2186609435614476,0.012835541947753257,7350
2,3,-0.03344351308820224,0.6758,-0.15085458667684848,0.08431928533596016,7300
2,4,-0.018153552279330402,0.824,-0.13288361959945721,0.10006778986804371,7250
2,5,-0.07480799078289124,0.3512,-0.19349143374287286,0.04029996491715622,7200
2,6,-0.09404967969773408,0.2308,-0.21119688283764845,0.015485433303716385,7100
2,7,-0.027371671653100588,0.7408,-0.14506579927532784,0.09375134338135463,7025
2,8,0.06854716830132489,0.3938,-0.052778771226154646,0.18714041998985248,6975
2,9,0.15756915924812728,0.0354,0.03327957667175191,0.2811027223193157,6900
2,10,0.1550216575228773,0.0444,0.030705133699899162,0.2804743411666028,6825
2,11,0.12693469599014706,0.107,0.006302097927893939,0.24793587260290317,6775
2,12,-0.006706116612425844,0.9432,-0.1281402064078845,0.11599614182067146,6725
2,13,0.009101820752021336,0.914,-0.11136529731959131,0.12910240782873816,6675
2,14,-0.02365618880685197,0.7818,-0.1433745533968195,0.09235546752275547,6650
2,15,-0.09200692118911447,0.256,-0.20873090962064478,0.028474085902320912,6525
2,16,-0.09652238953134751,0.2448,-0.2204992967749627,0.029154574097835007,6400
2,17,-0.11753521514655706,0.1442,-0.24213990794285767,0.005446651314652043,6225
2,18,-0.15271623537539322,0.0602,-0.27885184630765103,-0.022147417572081704,6075
2,19,-0.16689181479460177,0.0336,-0.2946641058285803,-0.030732442066831307,5975
2,20,-0.26182521674984793,0.0008,-0.3924136348634148,-0.1361413442235952,5950
2,21,-0.2997124680723457,0.0,-0.4243056233056179,-0.17192328605064103,5925
2,22,-0.26145190956983627,0.0008,-0.3855767503334305,-0.13756603836495657,5900
2,23,-0.2624844591127389,0.0002,-0.38746637950328455,-0.13307468527886332,5875
2,24,-0.37282745457387073,0.0,-0.501995177712758,-0.24802432866956503,5850
2,25,-0.41708477068606864,0.0,-0.5461758995867375,-0.2912636709840417,5775
2,26,-0.3571084732897859,0.0,-0.4845373291158166,-0.22825626318871842,5675
2,27,-0.36553051278254917,0.0,-0.49462002500083957,-0.23236856684629645,5550
2,28,-0.28396893969463494,0.0006,-0.4126295310223571,-0.14903903853266803,5425
2,29,-0.14963416969234467,0.0734,-0.275852498868423,-0.0204134299598535,5350
2,30,-0.043482793465624024,0.6202,-0.17040206084156204,0.08232471770016427,5225
2,31,-0.03040115825794536,0.7412,-0.16039834736102132,0.09770110170693741,5050
2,32,-0.10918854345227155,0.2198,-0.24231622933724573,0.025351973813450394,4900
2,33,-0.015115925977144142,0.8714,-0.1543883076005603,0.125153354128616,4725
2,34,0.16878058780074728,0.0544,0.029154733527510857,0.31440294025742715,4575
2,35,0.1378872660385695,0.125,-0.007967649073888396,0.2809733665096103,4500
2,36,-0.09699672249626796,0.3048,-0.23688798926058136,0.04545752412828308,4375
2,37,-0.17182401315008278,0.0558,-0.32311305278967345,-0.025900741415536218,4250
2,38,-0.052589942015200355,0.5768,-0.20606145296956235,0.10333174952278612,4175
2,39,0.08884176451771417,0.3418,-0.05980890428793728,0.24293671809758297,4075
